rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
1,multiclass,minmax,pca,none,mlp_ann,0.685651375277785,0.6856236898367657,0.6856599979802175,0.6850259662748334,,4.092895638663322,0.003943485993659,0.6746955111607763,0.6754969632652089,0.0109558641170086,0.0095290030096244
2,multiclass,standard,none,none,mlp_ann,0.6746955111607763,0.6768432534127701,0.6746945078936051,0.6754969632652089,0.3310722671536655,4.617935291675773,0.0026995556545443,0.6746955111607763,0.6754969632652089,0.0,0.0
3,multiclass,standard,svd,none,mlp_ann,0.6713050913728499,0.6724674000395595,0.6713041100304897,0.6717827970777209,0.3308113749021654,4.248572861669042,0.0029172636665558,0.6746955111607763,0.6754969632652089,-0.0033904197879264,-0.0037141661874879
4,multiclass,standard,pca,none,mlp_ann,0.6708694997541915,0.6718323446569491,0.6708670200151371,0.6711119388909749,,4.187399250329084,0.0012617773318197,0.6746955111607763,0.6754969632652089,-0.0038260114065847,-0.004385024374234
5,multiclass,robust,none,none,mlp_ann,0.6697396924991731,0.6719948656455675,0.6697387785762349,0.6703683554178385,,4.5038171530080335,0.0019463196707268,0.6746955111607763,0.6754969632652089,-0.0049558186616032,-0.0051286078473704
6,multiclass,robust,none,embedded_l1,mlp_ann,0.6631304221278365,0.6650243446099826,0.6631283027132033,0.6636519171921963,,4.886052569335637,0.0033346390021809,0.6746955111607763,0.6754969632652089,-0.0115650890329398,-0.0118450460730126
7,multiclass,robust,pca,none,mlp_ann,0.6621737718409934,0.6628396069216752,0.6621717427886389,0.6623936962348944,,3.9674633610023498,0.0013862643196867,0.6746955111607763,0.6754969632652089,-0.0125217393197829,-0.0131032670303145
8,multiclass,standard,none,embedded_l1,mlp_ann,0.6619998436733266,0.6635874738325384,0.6620046001114285,0.6624003677466178,0.3339420819201669,4.919991319329711,0.0033751250011846,0.6746955111607763,0.6754969632652089,-0.0126956674874496,-0.0130965955185911
9,multiclass,minmax,pca,filter_correlation,mlp_ann,0.6534785656215688,0.656438321918175,0.653470451602947,0.6525696717733328,,3.896767958329292,0.0016750000067986,0.6746955111607763,0.6754969632652089,-0.0212169455392075,-0.0229272914918761
10,multiclass,minmax,pca,embedded_l1,mlp_ann,0.6506087508550674,0.6530056945547169,0.650603608602458,0.6488956190073006,,4.48808091666433,0.0017361803329549,0.6746955111607763,0.6754969632652089,-0.0240867603057088,-0.0266013442579082
11,multiclass,minmax,svd,none,mlp_ann,0.6499140815719477,0.6522496403118633,0.649911549411483,0.6467345645732295,,3.660975916330547,0.0018142083232911,0.6746955111607763,0.6754969632652089,-0.0247814295888285,-0.0287623986919793
12,multiclass,robust,svd,none,mlp_ann,0.6492175750194512,0.6487631004888629,0.6492210788135026,0.648806569010805,,4.131537555658724,0.0013750973448622,0.6746955111607763,0.6754969632652089,-0.025477936141325,-0.0266903942544038
13,multiclass,quantile,none,none,mlp_ann,0.6479122518331072,0.6510219507294358,0.6479092414128038,0.6490891110324437,,4.007124347340626,0.00262863865161,0.6746955111607763,0.6754969632652089,-0.0267832593276691,-0.0264078522327652
14,multiclass,quantile,none,embedded_l1,mlp_ann,0.6467825353074407,0.6490379351664212,0.6467794113809071,0.6471730474427578,,4.835488402672733,0.0023698053264524,0.6746955111607763,0.6754969632652089,-0.0279129758533356,-0.028323915822451
15,multiclass,minmax,pca,wrapper_rfe,mlp_ann,0.6465223008437421,0.6484682779201599,0.6465167261821685,0.6446436728396713,,4.241211416665465,0.0024899166698256,0.6746955111607763,0.6754969632652089,-0.0281732103170342,-0.0308532904255376
16,multiclass,minmax,pca,filter_anova,mlp_ann,0.645304644893709,0.6480425441434118,0.6453009986576389,0.6444923758506682,,3.819526361330645,0.0019824996707029,0.6746955111607763,0.6754969632652089,-0.0293908662670673,-0.0310045874145407
17,multiclass,quantile,none,none,svm,0.643129907692411,0.6586464575874093,0.6431295055050421,0.6374762010629311,,15.287022403004812,2.0693284303318555,0.643129907692411,0.6374762010629311,0.0,0.0
18,multiclass,standard,svd,filter_correlation,mlp_ann,0.643129885010073,0.6478629782907909,0.6431261013771966,0.6449133775672,0.3644664753456822,4.084884166669023,0.0016833613335619,0.6746955111607763,0.6754969632652089,-0.0315656261507033,-0.0305835856980088
19,multiclass,standard,pca,wrapper_rfe,mlp_ann,0.6424345352568137,0.644753546739363,0.6424268935177463,0.6428560394660573,,4.032943528009734,0.0016450279896767,0.6746955111607763,0.6754969632652089,-0.0322609759039625,-0.0326409237991516
20,multiclass,standard,pca,embedded_l1,mlp_ann,0.6420001458020685,0.6439906635424011,0.6419927537465263,0.6423489059757918,,3.977136805323729,0.0017875416767007,0.6746955111607763,0.6754969632652089,-0.0326953653587077,-0.0331480572894171
