rank,track,preprocessing,reduction,selection,model,accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,baseline_accuracy,baseline_f1,delta_vs_baseline_accuracy,delta_vs_baseline_f1
1,binary,quantile,pca,none,svm,0.9762605743358511,0.9600497419749087,0.9195627284311624,0.9393491431931303,0.9954380538084054,1.1983474586547043,0.1794926526684624,0.9759997047666888,0.9386473437523838,0.0002608695691622698,0.0007017994407465533
2,binary,quantile,none,none,svm,0.9759997047666888,0.9599850796572108,0.9182578127570825,0.9386473437523838,0.6722355208749881,3.4339959026741176,0.28473620832664887,0.9759997047666888,0.9386473437523838,0.0,0.0
3,binary,quantile,svd,none,svm,0.9746084382017207,0.9592919848944229,0.9117372058691702,0.9348808866122059,0.9949668026834174,1.148070416325936,0.1574930836698816,0.9759997047666888,0.9386473437523838,-0.00139126656496813,-0.00376645714017787
4,binary,quantile,none,embedded_l1,svm,0.9735649372427342,0.955328443244949,0.910435694322936,0.9322767242935607,0.6734177009411039,2.0275298889998035,0.24747015300090425,0.9759997047666888,0.9386473437523838,-0.0024347675239546618,-0.006370619458823112
5,binary,standard,svd,none,svm,0.9719129372026317,0.9540997878921448,0.903042495997313,0.9278551923842505,0.6713731866251522,0.9640825416621132,0.20987476367736235,0.9759997047666888,0.9386473437523838,-0.0040867675640571255,-0.010792151368133274
6,binary,minmax,svd,none,mlp_ann,0.9718258597071084,0.9218402052344619,0.9386967636956572,0.9301776761288746,0.6711677994911801,3.411314125007872,0.0010637360004087,0.9714779353247609,0.9267083134921892,0.00034792438234754197,0.0034693626366854025
7,binary,minmax,pca,none,svm,0.971738963670289,0.9553049939208674,0.9008672583040861,0.9272756124957787,0.9943677221700135,1.111672430667871,0.15550413900443036,0.9759997047666888,0.9386473437523838,-0.004260741096399845,-0.011371731256605067
8,binary,robust,svd,none,svm,0.9716520222687937,0.9536070906951398,0.902172173978166,0.9271632111994093,0.6725110393167033,0.925624778009175,0.1353397363175948,0.9759997047666888,0.9386473437523838,-0.004347682497895189,-0.011484132552974535
9,binary,robust,pca,none,svm,0.9715650128202843,0.9544102791954483,0.9008661235948043,0.9268510539984214,0.9944497405673426,1.0639272083256703,0.14184906967178296,0.9759997047666888,0.9386473437523838,-0.0044346919464045564,-0.011796289753962408
10,binary,standard,none,none,mlp_ann,0.9714779353247609,0.9526776810434372,0.9021676351410387,0.9267083134921892,0.9877294536231719,1.280556500016246,0.0013447636447380667,0.9714779353247609,0.9267083134921892,0.0,0.0
11,binary,minmax,pca,none,mlp_ann,0.9713040525217701,0.9279308271616274,0.9286903298940294,0.928281531423865,0.9902614932613414,2.223597319670565,0.0007816109961519,0.9714779353247609,0.9267083134921892,-0.00017388280299079906,0.0015732179316758632
12,binary,standard,pca,none,svm,0.9712172018496267,0.9543338348420055,0.8991277489750739,0.9258936985157339,0.9944401684690568,1.0699783753273853,0.14121519433683707,0.9759997047666888,0.9386473437523838,-0.00478250291706217,-0.012753645236649902
13,binary,robust,none,none,svm,0.9707823814304598,0.954675583488839,0.896520187045478,0.9246484733276006,0.6739731937267864,3.1519071946580275,0.24836445799640686,0.9759997047666888,0.9386473437523838,-0.0052173233362290405,-0.013998870424783205
14,binary,standard,none,none,svm,0.9706954400289645,0.9546414158338129,0.8960844586812634,0.9244114878301734,0.9946333913161839,3.0067383889885,0.2462356113440667,0.9759997047666888,0.9386473437523838,-0.0053042647377243846,-0.014235855922210439
15,binary,robust,none,embedded_l1,mlp_ann,0.9703476971053209,0.9454755199570868,0.9039077118246919,0.9241857534346462,0.6684679306520174,1.4043741253359865,0.0010148746562966334,0.9714779353247609,0.9267083134921892,-0.0011302382194400273,-0.002522560057543033
16,binary,standard,pca,none,mlp_ann,0.9702608917978534,0.9426010213372389,0.9065186778821331,0.9241794560237935,0.9881876764213838,1.0614324719936123,0.0008028890006243667,0.9714779353247609,0.9267083134921892,-0.0012170435269075464,-0.0025288574683957066
